Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.0,100.0,552,552,10,0,10,0,3,0,10,0,0,7,0,3,0,0,sg_1
HDR,1.66358595,98.33641405,552,552,541,9,532,0,0,16,532,0,0,516,0,0,16,0,sg_1
Reference,0.0,100.0,1080,1046,6,0,6,0,6,6,6,0,0,0,0,0,0,6,sg_2
HDR,0.0,100.0,1080,1046,1032,0,1032,0,91,44,1032,0,0,903,0,85,38,6,sg_2
Reference,0.66666667,99.33333333,1079,1075,150,1,149,0,0,1,149,0,0,148,0,0,1,0,sg_3
HDR,1.2972973,98.7027027,1079,1075,925,12,913,0,2,17,913,0,0,896,0,0,15,2,sg_3
Reference,15.625,84.375,1755,1701,96,15,81,0,75,1,81,0,0,6,0,74,0,1,sg_4
HDR,0.0,100.0,1755,1701,1531,0,1531,0,124,145,1531,0,0,1365,0,21,42,103,sg_4
Reference,91.73501577,8.26498423,1586,1586,1585,1454,131,0,0,2,129,0,2,129,0,0,0,0,sg_5
HDR,,,1586,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sg_5
Reference,7.93787748,92.06212252,2438,2438,2318,184,2134,0,6,2,2127,6,1,2126,0,0,1,0,sg_6
HDR,0.86206897,99.13793103,2438,2438,116,1,115,0,0,0,115,0,0,115,0,0,0,0,sg_6
Reference,18.61598441,81.38401559,2761,2758,2052,382,1670,0,60,61,1610,0,0,1609,60,0,1,0,sg_7
HDR,1.42653352,98.57346648,2761,2758,701,10,691,0,0,3,691,0,0,688,0,0,3,0,sg_7
Reference,95.72605561,4.27394439,3838,3838,1942,1859,83,0,1,8,74,1,8,74,0,0,0,0,sg_8
HDR,96.0443038,3.9556962,3838,3838,1896,1821,75,0,0,1,74,0,1,74,0,0,0,0,sg_8
Reference,0.625,99.375,1065,1065,160,1,159,0,5,8,159,0,0,146,0,5,8,0,sg_9
HDR,0.11286682,99.88713318,1065,1065,886,1,885,0,0,2,885,0,0,883,0,0,2,0,sg_9
Reference,0.0,100.0,817,817,174,0,174,0,25,6,174,0,0,149,0,19,0,6,sg_10
HDR,0.0,100.0,817,817,643,0,643,0,0,2,643,0,0,641,0,0,2,0,sg_10
Reference,5.9602649,94.0397351,4529,4527,151,9,142,0,45,45,97,0,0,97,45,0,0,0,sg_11
HDR,0.04573519,99.95426481,4529,4527,4373,2,4371,0,13,4,4371,0,0,4354,0,13,4,0,sg_11
Reference,0.0,100.0,1382,1382,12,0,12,0,0,0,12,0,0,12,0,0,0,0,sg_12
HDR,0.29411765,99.70588235,1382,1382,1360,4,1356,0,43,6,1325,28,0,1311,3,11,2,1,sg_12
Reference,13.88888889,86.11111111,445,445,72,10,62,0,0,0,62,0,0,62,0,0,0,0,sg_13
HDR,3.76344086,96.23655914,445,445,372,14,358,0,0,2,358,0,0,356,0,0,2,0,sg_13
Reference,0.0,100.0,2409,2409,524,0,524,0,70,54,488,0,36,415,0,55,3,15,sg_14
HDR,0.0,100.0,2409,2409,1810,0,1810,0,12,5,1809,1,0,1793,0,11,5,0,sg_14
Reference,28.24858757,71.75141243,377,377,177,50,127,0,0,0,127,0,0,127,0,0,0,0,sg_15
HDR,47.5,52.5,377,377,200,95,105,0,9,0,96,9,0,96,0,0,0,0,sg_15
Reference,60.0,40.0,134,94,35,21,14,0,1,0,14,0,0,13,0,1,0,0,sg_16
HDR,45.76271186,54.23728814,134,94,59,27,32,0,0,0,32,0,0,32,0,0,0,0,sg_16
Reference,71.42857143,28.57142857,3251,3180,49,35,14,0,0,10,5,0,9,4,0,0,1,0,sg_17
HDR,12.014365,87.985635,3251,3180,3063,368,2695,0,313,290,2420,31,87,2255,157,119,40,6,sg_17
Reference,19.56521739,80.43478261,1334,1332,46,9,37,0,2,4,37,0,0,31,0,2,4,0,sg_18
HDR,0.0,100.0,1334,1332,1242,0,1242,0,14,28,1240,0,2,1201,0,13,25,1,sg_18
Reference,3.84615385,96.15384615,1099,1090,26,1,25,0,14,9,11,14,0,2,0,0,9,0,sg_19
HDR,0.0,100.0,1099,1090,1032,0,1032,0,112,23,1032,0,0,906,0,103,14,9,sg_19
Reference,100.0,0.0,979,965,1,1,0,0,0,0,0,0,0,0,0,0,0,0,sg_20
HDR,44.96365524,55.03634476,979,965,963,433,530,0,13,28,530,0,0,501,0,1,16,12,sg_20
Reference,50.0,50.0,889,882,2,1,1,0,0,0,1,0,0,1,0,0,0,0,sg_21
HDR,35.83617747,64.16382253,889,882,879,315,564,0,19,22,548,0,0,539,16,3,6,0,sg_21
Reference,11.42857143,88.57142857,1004,1001,35,4,31,0,0,0,31,0,0,31,0,0,0,0,sg_22
HDR,0.45558087,99.54441913,1004,1001,878,4,874,0,35,2,841,33,0,837,0,2,2,0,sg_22
Reference,9.67741935,90.32258065,652,652,31,3,28,0,0,0,28,0,0,28,0,0,0,0,sg_23
