Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,100.0,0.0,614,614,3,3,0,0,0,0,0,0,0,0,0,0,0,0,sg_1
HDR,6.2295082,93.7704918,614,614,610,38,572,0,0,0,572,0,0,572,0,0,0,0,sg_1
Reference,0.0,100.0,2830,2790,829,0,829,0,7,812,829,0,0,10,0,7,812,0,sg_2
HDR,0.0,100.0,2830,2790,1935,0,1935,0,84,62,1935,0,0,1798,0,75,53,9,sg_2
Reference,0.0,100.0,1362,1352,22,0,22,0,7,0,22,0,0,15,0,7,0,0,sg_3
HDR,0.07524454,99.92475546,1362,1352,1329,1,1328,0,7,44,1325,3,0,1281,0,0,40,4,sg_3
Reference,0.0,100.0,1114,1114,23,0,23,0,4,0,23,0,0,19,0,4,0,0,sg_4
HDR,0.0,100.0,1114,1114,1082,0,1082,0,184,13,1081,1,0,896,0,172,2,11,sg_4
Reference,94.29864253,5.70135747,2210,2210,2210,2084,126,0,68,1,57,68,1,57,0,0,0,0,sg_5
HDR,,,2210,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sg_5
Reference,6.08930988,93.91069012,2246,2246,2217,135,2082,0,0,2,2081,0,1,2080,0,0,1,0,sg_6
HDR,0.0,100.0,2246,2246,24,0,24,0,0,0,24,0,0,24,0,0,0,0,sg_6
Reference,43.04835403,56.95164597,9497,9497,8293,3570,4723,0,9,15,4711,0,3,4708,9,0,3,0,sg_7
HDR,3.59281437,96.40718563,9497,9497,1169,42,1127,0,0,0,1127,0,0,1127,0,0,0,0,sg_7
Reference,94.33262712,5.66737288,3845,3845,1888,1781,107,0,0,0,107,0,0,107,0,0,0,0,sg_8
