Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,30.76923077,69.23076923,1263,1263,26,8,18,0,0,0,18,0,0,18,0,0,0,0,sg_1
HDR,8.50202429,91.49797571,1263,1263,1235,105,1130,0,50,25,1108,0,2,1075,20,30,3,0,sg_1
Reference,26.92307692,73.07692308,1446,1445,104,28,76,0,24,17,76,0,0,35,0,24,17,0,sg_2
HDR,0.0,100.0,1446,1445,1325,0,1325,0,107,70,1323,2,0,1163,0,90,55,15,sg_2
Reference,3.80952381,96.19047619,1650,1650,105,4,101,0,10,0,101,0,0,91,0,10,0,0,sg_3
HDR,1.95439739,98.04560261,1650,1650,1535,30,1505,0,30,0,1475,30,0,1475,0,0,0,0,sg_3
Reference,12.14057508,87.85942492,2456,2361,313,38,275,0,142,116,243,0,0,133,32,26,0,84,sg_4
HDR,0.0,100.0,2456,2361,1992,0,1992,0,30,54,1992,0,0,1921,0,17,41,13,sg_4
Reference,97.75811209,2.24188791,1698,1697,1695,1657,38,0,0,2,36,0,2,36,0,0,0,0,sg_5
HDR,100.0,0.0,1698,1697,1,1,0,0,0,0,0,0,0,0,0,0,0,0,sg_5
Reference,42.30088496,57.69911504,1185,1184,1130,478,652,0,1,14,652,0,0,638,0,0,13,1,sg_6
HDR,0.0,100.0,1185,1184,53,0,53,0,0,0,53,0,0,53,0,0,0,0,sg_6
Reference,59.83606557,40.16393443,4719,4702,4026,2409,1617,0,75,3,1567,49,1,1539,0,26,2,0,sg_7
HDR,5.48148148,94.51851852,4719,4702,675,37,638,0,25,1,638,0,0,612,0,25,1,0,sg_7
Reference,95.16129032,4.83870968,4123,4123,3720,3540,180,0,0,44,137,0,43,136,0,0,1,0,sg_8
HDR,89.08188586,10.91811414,4123,4123,403,359,44,0,0,0,44,0,0,44,0,0,0,0,sg_8
Reference,6.11551529,93.88448471,4050,4050,883,54,829,0,40,50,814,2,2,750,11,27,37,0,sg_9
HDR,0.09658725,99.90341275,4050,4050,3106,3,3103,0,0,4,3103,0,0,3099,0,0,4,0,sg_9
Reference,3.2388664,96.7611336,2422,2422,988,32,956,0,5,5,951,0,5,946,0,5,0,0,sg_10
HDR,0.0,100.0,2422,2422,1430,0,1430,0,0,2,1430,0,0,1428,0,0,2,0,sg_10
Reference,47.1281296,52.8718704,5191,5185,679,320,359,0,7,49,353,0,0,310,6,0,42,1,sg_11
HDR,0.0,100.0,5191,5185,4497,0,4497,0,0,1,4496,0,1,4496,0,0,0,0,sg_11
Reference,47.82608696,52.17391304,3159,3145,138,66,72,0,0,0,72,0,0,72,0,0,0,0,sg_12
HDR,3.96138482,96.03861518,3159,3145,3004,119,2885,0,18,1,2885,0,0,2866,0,18,1,0,sg_12
Reference,31.63064833,68.36935167,1946,1946,509,161,348,0,0,0,348,0,0,348,0,0,0,0,sg_13
HDR,18.16283925,81.83716075,1946,1946,1437,261,1176,0,0,5,1176,0,0,1171,0,0,5,0,sg_13
Reference,0.89730808,99.10269192,3453,3434,1003,9,994,0,90,69,909,23,0,900,62,2,4,3,sg_14
HDR,0.04173623,99.95826377,3453,3434,2396,1,2395,0,1,4,2394,0,1,2391,0,0,2,1,sg_14
Reference,14.13043478,85.86956522,1453,1453,460,65,395,0,8,0,395,0,0,387,0,8,0,0,sg_15
HDR,44.10876133,55.89123867,1453,1453,993,438,555,0,2,1,555,0,0,552,0,2,1,0,sg_15
Reference,77.77777778,22.22222222,54,20,9,7,2,0,0,0,2,0,0,2,0,0,0,0,sg_16
HDR,81.81818182,18.18181818,54,20,11,9,2,0,0,0,2,0,0,2,0,0,0,0,sg_16
Reference,56.56565657,43.43434343,2852,2848,99,56,43,0,19,1,37,5,1,23,0,14,0,0,sg_17
HDR,50.0550863,49.9449137,2852,2848,2723,1363,1360,0,82,43,1264,80,16,1235,0,2,27,0,sg_17
Reference,0.5988024,99.4011976,2596,2579,167,1,166,0,40,22,151,6,9,104,0,34,13,0,sg_18
HDR,0.54144107,99.45855893,2596,2579,2401,13,2388,0,28,6,2388,0,0,2356,0,26,4,2,sg_18
Reference,0.0,100.0,1335,1320,67,0,67,0,37,54,34,0,17,13,16,0,0,21,sg_19
HDR,0.1610306,99.8389694,1335,1320,1242,2,1240,0,18,1,1240,0,0,1221,0,18,1,0,sg_19
Reference,55.55555556,44.44444444,1801,1800,72,40,32,0,32,0,32,0,0,0,0,32,0,0,sg_20
HDR,88.30341633,11.69658367,1801,1800,1727,1525,202,0,2,4,198,0,4,196,0,2,0,0,sg_20
Reference,100.0,0.0,1475,1444,61,61,0,0,0,0,0,0,0,0,0,0,0,0,sg_21
HDR,86.67632151,13.32367849,1475,1444,1381,1197,184,0,0,3,181,0,3,181,0,0,0,0,sg_21
Reference,32.8125,67.1875,1776,1776,192,63,129,0,26,49,103,26,0,54,0,0,49,0,sg_22
HDR,1.83544304,98.16455696,1776,1776,1580,29,1551,0,14,32,1538,0,0,1518,13,1,19,0,sg_22
Reference,24.90842491,75.09157509,2116,2114,273,68,205,0,40,5,173,27,0,165,5,8,0,0,sg_23
HDR,1.41843972,98.58156028,2116,2114,1833,26,1807,0,127,94,1717,31,0,1650,59,32,30,5,sg_23
Reference,1.84210526,98.15789474,2658,2651,2280,42,2238,0,54,43,2223,0,0,2157,15,38,27,1,sg_24
HDR,0.0,100.0,2658,2651,368,0,368,0,10,0,368,0,0,358,0,10,0,0,sg_24
Reference,34.1954023,65.8045977,2127,2127,1044,357,687,0,15,7,676,4,0,672,7,4,0,0,sg_25
HDR,4.24746076,95.75253924,2127,2127,1083,46,1037,0,0,0,1037,0,0,1037,0,0,0,0,sg_25
Reference,96.64536741,3.35463259,2530,2530,1878,1815,63,0,25,2,37,25,1,36,0,0,1,0,sg_26
HDR,90.49079755,9.50920245,2530,2530,652,590,62,0,0,1,61,0,1,61,0,0,0,0,sg_26
Reference,29.3294031,70.6705969,4138,4134,1357,398,959,0,39,24,949,0,3,903,7,32,14,0,sg_27
HDR,39.92753623,60.07246377,4138,4134,2760,1102,1658,0,0,5,1655,0,3,1653,0,0,2,0,sg_27
Reference,2.05567452,97.94432548,2452,2452,2335,48,2287,0,16,58,2229,3,42,2226,13,0,3,0,sg_28
HDR,1.7699115,98.2300885,2452,2452,113,2,111,0,0,0,111,0,0,111,0,0,0,0,sg_28
Reference,31.43497758,68.56502242,3088,3088,2230,701,1529,0,17,2,1512,16,0,1511,1,0,1,0,sg_29
HDR,62.0977354,37.9022646,3088,3088,839,521,318,0,0,0,318,0,0,318,0,0,0,0,sg_29
