Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
HDR,0.0,100.0,2224,2224,52,0,52,0,0,0,52,0,0,52,0,0,0,0,sg_28
Reference,19.0652819,80.9347181,1901,1901,1348,257,1091,0,11,0,1085,6,0,1080,0,5,0,0,sg_29
HDR,70.40441176,29.59558824,1901,1901,544,383,161,0,0,1,160,0,1,160,0,0,0,0,sg_29
Reference,7.52688172,92.47311828,913,912,465,35,430,0,19,5,428,2,0,411,0,12,0,5,sg_30
HDR,0.0,100.0,913,912,428,0,428,0,0,1,428,0,0,427,0,0,1,0,sg_30
Reference,3.64422483,96.35577517,2383,2382,1619,59,1560,0,129,37,1497,46,0,1425,17,52,6,14,sg_31
HDR,0.0,100.0,2383,2382,750,0,750,0,0,0,750,0,0,750,0,0,0,0,sg_31
Reference,12.01629328,87.98370672,3239,3239,982,118,864,0,31,19,834,11,0,833,19,1,0,0,sg_32
HDR,0.31305903,99.68694097,3239,3239,2236,7,2229,0,10,12,2229,0,0,2210,0,7,9,3,sg_32
Reference,3.80622837,96.19377163,1140,1140,578,22,556,0,3,2,554,2,0,552,0,0,1,1,sg_33
HDR,0.0,100.0,1140,1140,548,0,548,0,0,1,548,0,0,547,0,0,1,0,sg_33
Reference,9.28,90.72,1604,1604,625,58,567,0,16,1,567,0,0,550,0,16,1,0,sg_34
HDR,3.21243523,96.78756477,1604,1604,965,31,934,0,0,1,934,0,0,933,0,0,1,0,sg_34
Reference,43.37349398,56.62650602,184,184,83,36,47,0,0,0,47,0,0,47,0,0,0,0,sg_35
HDR,0.99009901,99.00990099,184,184,101,1,100,0,0,0,100,0,0,100,0,0,0,0,sg_35
Reference,20.83333333,79.16666667,1075,1062,96,20,76,0,28,13,52,22,2,35,0,6,11,0,sg_36
HDR,0.0,100.0,1075,1062,952,0,952,0,13,8,952,0,0,934,0,10,5,3,sg_36
Reference,8.78477306,91.21522694,2143,2114,1366,120,1246,0,31,33,1218,14,14,1199,0,0,2,17,sg_37
HDR,0.0,100.0,2143,2114,739,0,739,0,9,2,739,0,0,728,0,9,2,0,sg_37
Reference,18.36734694,81.63265306,1976,1976,98,18,80,0,12,11,59,12,9,57,0,0,2,0,sg_38
HDR,0.0,100.0,1976,1976,1864,0,1864,0,0,8,1864,0,0,1856,0,0,8,0,sg_38
Reference,96.96969697,3.03030303,1267,1265,33,32,1,0,1,1,0,0,0,0,1,0,0,0,sg_39
HDR,4.05844156,95.94155844,1267,1265,1232,50,1182,0,15,0,1182,0,0,1167,0,15,0,0,sg_39
Reference,49.91896272,50.08103728,3073,3073,617,308,309,0,10,29,277,3,22,277,7,0,0,0,sg_40
HDR,83.92638037,16.07361963,3073,3073,2445,2052,393,0,0,5,389,0,4,388,0,0,1,0,sg_40
Reference,96.93454847,3.06545153,2460,2429,2414,2340,74,0,0,1,73,0,1,73,0,0,0,0,sg_41
HDR,100.0,0.0,2460,2429,13,13,0,0,0,0,0,0,0,0,0,0,0,0,sg_41
Reference,17.14285714,82.85714286,2749,2741,105,18,87,0,0,27,87,0,0,60,0,0,27,0,sg_42
HDR,0.91081594,99.08918406,2749,2741,2635,24,2611,0,36,1,2595,16,0,2574,0,20,1,0,sg_42
Reference,100.0,0.0,1892,1875,23,23,0,0,0,0,0,0,0,0,0,0,0,0,sg_43
HDR,0.97508126,99.02491874,1892,1875,1846,18,1828,0,0,1,1828,0,0,1827,0,0,1,0,sg_43
Reference,49.7005988,50.2994012,1989,1986,167,83,84,0,7,7,77,0,0,77,7,0,0,0,sg_44
HDR,0.66079295,99.33920705,1989,1986,1816,12,1804,0,6,6,1804,0,0,1798,0,0,0,6,sg_44
Reference,25.0,75.0,1335,1307,48,12,36,0,14,22,36,0,0,14,0,0,8,14,sg_45
HDR,0.0,100.0,1335,1307,1258,0,1258,0,70,72,1258,0,0,1138,0,48,50,22,sg_45
Reference,21.05263158,78.94736842,149,149,19,4,15,0,0,0,15,0,0,15,0,0,0,0,sg_46
HDR,70.0,30.0,149,149,130,91,39,0,0,0,39,0,0,39,0,0,0,0,sg_46
Reference,32.65306122,67.34693878,1196,1196,98,32,66,0,42,10,27,39,0,17,0,0,7,3,sg_47
HDR,87.4301676,12.5698324,1196,1196,1074,939,135,0,4,7,129,2,4,126,0,0,1,2,sg_47
Reference,82.92682927,17.07317073,1223,1223,82,68,14,0,0,2,14,0,0,12,0,0,2,0,sg_48
HDR,48.15789474,51.84210526,1223,1223,1140,549,591,0,19,15,582,5,0,571,4,0,1,10,sg_48
Reference,89.54248366,10.45751634,3209,3192,612,548,64,0,0,11,54,0,10,53,0,0,1,0,sg_49
HDR,91.43635656,8.56364344,3209,3192,2569,2349,220,0,1,2,217,1,2,217,0,0,0,0,sg_49
Reference,40.25974026,59.74025974,3618,3589,77,31,46,0,19,19,27,0,0,27,19,0,0,0,sg_50
HDR,6.51920838,93.48079162,3618,3589,3436,224,3212,0,99,24,3130,82,0,3089,0,17,24,0,sg_50
Reference,12.37816764,87.62183236,3175,3175,2052,254,1798,0,0,2,1797,0,1,1796,0,0,1,0,sg_51
HDR,1.15967886,98.84032114,3175,3175,1121,13,1108,0,0,2,1108,0,0,1106,0,0,2,0,sg_51
Reference,7.38874895,92.61125105,1761,1761,1191,88,1103,0,0,5,1101,0,2,1098,0,0,3,0,sg_52
HDR,0.0,100.0,1761,1761,569,0,569,0,0,0,569,0,0,569,0,0,0,0,sg_52
Reference,6.69885335,93.30114665,1914,1912,1657,111,1546,0,7,14,1534,7,5,1525,0,0,9,0,sg_53
HDR,17.01244813,82.98755187,1914,1912,241,41,200,0,1,1,200,0,0,198,0,1,1,0,sg_53
Reference,62.57408975,37.42591025,2859,2859,2362,1478,884,0,13,2,874,8,2,869,0,5,0,0,sg_54
HDR,27.23577236,72.76422764,2859,2859,492,134,358,0,0,1,358,0,0,357,0,0,1,0,sg_54
Reference,26.52068127,73.47931873,2335,2322,411,109,302,0,7,0,295,7,0,295,0,0,0,0,sg_55
HDR,34.86910995,65.13089005,2335,2322,1910,666,1244,0,0,1,1244,0,0,1243,0,0,1,0,sg_55
Reference,0.0,100.0,526,507,1,0,1,0,0,1,0,0,1,0,0,0,0,0,sg_56
HDR,21.81069959,78.18930041,526,507,486,106,380,0,38,29,353,3,24,313,0,35,5,0,sg_56
Reference,16.12903226,83.87096774,1517,1512,62,10,52,0,16,11,36,5,0,36,11,0,0,0,sg_57
HDR,20.89655172,79.10344828,1517,1512,1450,303,1147,0,92,47,1096,20,1,1054,30,26,0,16,sg_57
Reference,46.12068966,53.87931034,3791,3785,464,214,250,0,47,94,192,30,28,119,0,7,56,10,sg_58
HDR,86.14457831,13.85542169,3791,3785,3320,2860,460,0,18,23,437,0,5,437,18,0,0,0,sg_58
Reference,77.06422018,22.93577982,1563,1563,109,84,25,0,20,0,6,19,0,5,0,1,0,0,sg_59
HDR,80.7505212,19.2494788,1563,1563,1439,1162,277,0,0,1,276,0,1,276,0,0,0,0,sg_59
Reference,68.35443038,31.64556962,2148,2148,79,54,25,0,0,13,21,0,4,12,0,0,9,0,sg_60
HDR,57.84123911,42.15876089,2148,2148,2066,1195,871,0,0,2,870,0,1,869,0,0,1,0,sg_60
Reference,76.49017649,23.50982351,3316,3316,3003,2297,706,0,0,4,704,0,2,702,0,0,2,0,sg_61
HDR,68.69009585,31.30990415,3316,3316,313,215,98,0,0,0,98,0,0,98,0,0,0,0,sg_61
Reference,0.0,100.0,270,243,46,0,46,0,35,12,18,23,1,10,4,1,0,7,sg_62
HDR,0.0,100.0,270,243,196,0,196,0,6,12,195,0,1,178,0,6,11,0,sg_62
Reference,31.37254902,68.62745098,1019,1013,51,16,35,0,24,7,9,19,3,8,4,1,0,0,sg_63
HDR,64.26332288,35.73667712,1019,1013,957,615,342,0,43,9,291,42,8,291,1,0,0,0,sg_63
Reference,55.55555556,44.44444444,2405,2381,99,55,44,0,0,34,18,0,26,10,0,0,8,0,sg_64
HDR,52.35371755,47.64628245,2405,2381,2273,1190,1083,0,15,53,1037,7,32,1022,7,1,14,0,sg_64
Reference,82.75862069,17.24137931,2103,2103,29,24,5,0,3,0,5,0,0,2,0,3,0,0,sg_65
HDR,55.55014606,44.44985394,2103,2103,2054,1141,913,0,0,15,900,0,13,898,0,0,2,0,sg_65
Reference,81.11111111,18.88888889,3419,3416,90,73,17,0,0,0,17,0,0,17,0,0,0,0,sg_66
HDR,92.95392954,7.04607046,3419,3416,3321,3087,234,0,0,1,233,0,1,233,0,0,0,0,sg_66
Reference,33.33333333,66.66666667,2179,2179,69,23,46,0,0,13,35,0,11,33,0,0,2,0,sg_67
