Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,52.77777778,47.22222222,1515,1515,36,19,17,0,2,5,13,0,2,12,2,0,1,0,sg_1
HDR,5.54803789,94.45196211,1515,1515,1478,82,1396,0,23,8,1396,0,0,1365,0,23,8,0,sg_1
Reference,6.5,93.5,2166,2135,200,13,187,0,65,48,172,14,0,75,1,50,47,0,sg_2
HDR,0.0,100.0,2166,2135,1901,0,1901,0,71,36,1898,1,0,1807,2,57,23,11,sg_2
Reference,4.91803279,95.08196721,2095,2081,61,3,58,0,0,0,58,0,0,58,0,0,0,0,sg_3
HDR,1.43564356,98.56435644,2095,2081,2020,29,1991,0,29,19,1959,17,4,1954,11,1,4,0,sg_3
Reference,6.60377358,93.39622642,2646,2641,318,21,297,0,98,61,296,0,1,198,0,38,0,60,sg_4
HDR,0.08650519,99.91349481,2646,2641,2312,2,2310,0,71,74,2310,0,0,2187,0,49,52,22,sg_4
Reference,96.47453833,3.52546167,1787,1787,1787,1724,63,0,0,0,63,0,0,63,0,0,0,0,sg_5
HDR,,,1787,1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sg_5
Reference,37.09419904,62.90580096,1932,1932,1879,697,1182,0,30,1,1154,27,1,1151,0,3,0,0,sg_6
HDR,1.96078431,98.03921569,1932,1932,51,1,50,0,0,0,50,0,0,50,0,0,0,0,sg_6
Reference,68.55733662,31.44266338,4471,4469,4055,2780,1275,0,0,17,1258,0,17,1258,0,0,0,0,sg_7
HDR,0.24390244,99.75609756,4471,4469,410,1,409,0,0,1,409,0,0,408,0,0,1,0,sg_7
Reference,96.74094708,3.25905292,3906,3906,3590,3473,117,0,3,13,101,3,13,101,0,0,0,0,sg_8
HDR,97.46835443,2.53164557,3906,3906,316,308,8,0,0,1,7,0,1,7,0,0,0,0,sg_8
Reference,3.71229698,96.28770302,5195,5194,862,32,830,0,60,40,816,2,0,770,12,18,0,28,sg_9
HDR,0.0,100.0,5195,5194,4258,0,4258,0,47,7,4257,0,1,4204,0,47,6,0,sg_9
Reference,2.13219616,97.86780384,2093,2091,938,20,918,0,32,5,882,32,4,881,0,0,1,0,sg_10
HDR,0.0,100.0,2093,2091,1152,0,1152,0,0,23,1152,0,0,1129,0,0,23,0,sg_10
Reference,14.48170732,85.51829268,4400,4382,656,95,561,0,78,98,466,16,35,440,44,7,8,11,sg_11
HDR,0.29538131,99.70461869,4400,4382,3724,11,3713,0,0,4,3713,0,0,3709,0,0,4,0,sg_11
Reference,84.43113772,15.56886228,2564,2537,167,141,26,0,2,17,8,1,17,7,0,1,0,0,sg_12
HDR,6.38569604,93.61430396,2564,2537,2349,150,2199,0,3,27,2196,3,0,2169,0,0,27,0,sg_12
Reference,40.67085954,59.32914046,1954,1954,477,194,283,0,22,14,269,0,0,261,14,8,0,0,sg_13
HDR,22.96747967,77.03252033,1954,1954,1476,339,1137,0,0,21,1137,0,0,1116,0,0,21,0,sg_13
Reference,4.98533724,95.01466276,4066,4060,1023,51,972,0,127,75,905,0,6,834,61,63,5,3,sg_14
HDR,0.0,100.0,4066,4060,3005,0,3005,0,0,18,3005,0,0,2987,0,0,18,0,sg_14
Reference,25.27675277,74.72324723,1789,1789,542,137,405,0,3,2,402,2,1,400,0,1,1,0,sg_15
HDR,38.36276083,61.63723917,1789,1789,1246,478,768,0,10,1,767,0,0,758,1,9,0,0,sg_15
Reference,41.17647059,58.82352941,22,22,17,7,10,0,0,0,10,0,0,10,0,0,0,0,sg_16
HDR,80.0,20.0,22,22,5,4,1,0,0,0,1,0,0,1,0,0,0,0,sg_16
Reference,45.28301887,54.71698113,4163,4141,159,72,87,0,20,59,73,0,14,8,0,20,45,0,sg_17
HDR,53.46025212,46.53974788,4163,4141,3887,2078,1809,0,86,2,1754,53,1,1722,1,32,0,0,sg_17
Reference,13.96396396,86.03603604,3687,3687,222,31,191,0,7,5,186,0,5,179,0,7,0,0,sg_18
HDR,0.0,100.0,3687,3687,3450,0,3450,0,18,32,3442,8,0,3400,0,10,32,0,sg_18
Reference,34.28571429,65.71428571,1123,1103,35,12,23,0,13,1,17,5,0,10,1,7,0,0,sg_19
HDR,0.09784736,99.90215264,1123,1103,1022,1,1021,0,98,34,1021,0,0,907,0,80,16,18,sg_19
Reference,75.0,25.0,1832,1832,4,3,1,0,1,0,1,0,0,0,0,1,0,0,sg_20
HDR,87.22587719,12.77412281,1832,1832,1824,1591,233,0,42,9,186,38,8,183,1,3,0,0,sg_20
Reference,75.0,25.0,1482,1479,56,42,14,0,10,3,11,0,3,1,0,10,0,0,sg_21
HDR,88.79432624,11.20567376,1482,1479,1410,1252,158,0,16,2,141,15,1,141,1,0,0,0,sg_21
Reference,24.35897436,75.64102564,1881,1874,156,38,118,0,2,3,116,2,0,113,0,0,3,0,sg_22
HDR,2.62850467,97.37149533,1881,1874,1712,45,1667,0,6,10,1662,5,0,1652,0,0,9,1,sg_22
Reference,7.54716981,92.45283019,2072,2072,212,16,196,0,13,14,189,1,2,181,4,0,0,8,sg_23
HDR,0.26925148,99.73074852,2072,2072,1857,5,1852,0,87,45,1839,8,0,1763,5,36,2,38,sg_23
Reference,0.8908686,99.1091314,2665,2661,2245,20,2225,0,30,53,2209,7,0,2155,9,10,40,4,sg_24
HDR,0.0,100.0,2665,2661,410,0,410,0,0,1,410,0,0,409,0,0,1,0,sg_24
Reference,26.58333333,73.41666667,1891,1890,1200,319,881,0,9,3,872,8,0,870,1,0,2,0,sg_25
HDR,1.9033675,98.0966325,1891,1890,683,13,670,0,4,0,670,0,0,666,0,4,0,0,sg_25
Reference,94.32454037,5.67545963,1718,1717,1251,1180,71,0,9,3,59,9,3,59,0,0,0,0,sg_26
HDR,85.80645161,14.19354839,1718,1717,465,399,66,0,0,0,66,0,0,66,0,0,0,0,sg_26
Reference,31.17048346,68.82951654,2772,2755,786,245,541,0,36,4,525,12,1,504,3,21,0,0,sg_27
HDR,36.67344863,63.32655137,2772,2755,1966,721,1245,0,0,2,1244,0,1,1243,0,0,1,0,sg_27
Reference,2.87183883,97.12816117,2452,2452,2333,67,2266,0,5,31,2258,0,8,2230,0,5,23,0,sg_28
HDR,0.0,100.0,2452,2452,116,0,116,0,0,0,116,0,0,116,0,0,0,0,sg_28
Reference,26.31840796,73.68159204,3035,3035,2010,529,1481,0,0,12,1471,0,10,1469,0,0,2,0,sg_29
HDR,71.21661721,28.78338279,3035,3035,1011,720,291,0,0,0,291,0,0,291,0,0,0,0,sg_29
Reference,3.70869858,96.29130142,2140,2135,1483,55,1428,0,9,2,1428,0,0,1417,0,9,2,0,sg_30
HDR,0.0,100.0,2140,2135,650,0,650,0,4,1,650,0,0,645,0,4,1,0,sg_30
Reference,3.5207824,96.4792176,3090,3047,2045,72,1973,0,21,25,1966,2,5,1942,0,4,5,15,sg_31
HDR,0.0,100.0,3090,3047,999,0,999,0,1,1,999,0,0,997,0,1,1,0,sg_31
