Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,33.33333333,66.66666667,491,491,12,4,8,0,6,0,8,0,0,2,0,6,0,0,sg_1
HDR,15.03131524,84.96868476,491,491,479,72,407,0,11,9,402,5,0,387,0,6,9,0,sg_1
Reference,10.0,90.0,1138,1138,10,1,9,0,9,0,0,9,0,0,0,0,0,0,sg_2
HDR,0.0,100.0,1138,1138,1127,0,1127,0,12,13,1127,0,0,1113,0,1,2,11,sg_2
Reference,0.0,100.0,672,667,6,0,6,0,0,0,6,0,0,6,0,0,0,0,sg_3
HDR,0.15174507,99.84825493,672,667,659,1,658,0,12,4,658,0,0,643,0,11,3,1,sg_3
Reference,0.0,100.0,1193,1157,42,0,42,0,39,38,4,0,0,3,38,1,0,0,sg_4
HDR,0.0,100.0,1193,1157,1079,0,1079,0,66,28,1079,0,0,1012,0,39,1,27,sg_4
Reference,97.41248097,2.58751903,1972,1972,1971,1920,51,0,1,3,47,1,3,47,0,0,0,0,sg_5
HDR,,,1972,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sg_5
Reference,16.6180758,83.3819242,1422,1422,1372,228,1144,0,0,0,1144,0,0,1144,0,0,0,0,sg_6
HDR,20.0,80.0,1422,1422,50,10,40,0,0,0,40,0,0,40,0,0,0,0,sg_6
Reference,14.58945549,85.41054451,7422,7422,5785,844,4941,0,0,7,4941,0,0,4934,0,0,7,0,sg_7
HDR,0.0,100.0,7422,7422,1635,0,1635,0,0,0,1635,0,0,1635,0,0,0,0,sg_7
Reference,96.62322275,3.37677725,2749,2749,1688,1631,57,0,0,1,56,0,1,56,0,0,0,0,sg_8
HDR,96.60697455,3.39302545,2749,2749,1061,1025,36,0,0,2,35,0,1,34,0,0,1,0,sg_8
Reference,2.24719101,97.75280899,1119,1119,89,2,87,0,0,1,86,0,1,86,0,0,0,0,sg_9
HDR,0.09746589,99.90253411,1119,1119,1026,1,1025,0,0,2,1025,0,0,1023,0,0,2,0,sg_9
Reference,3.33333333,96.66666667,737,737,90,3,87,0,0,0,87,0,0,87,0,0,0,0,sg_10
HDR,0.0,100.0,737,737,646,0,646,0,2,2,646,0,0,642,0,2,2,0,sg_10
Reference,36.88118812,63.11881188,5836,5831,404,149,255,0,130,191,126,0,1,64,128,0,60,2,sg_11
HDR,0.0,100.0,5836,5831,5424,0,5424,0,8,13,5424,0,0,5411,0,0,5,8,sg_11
Reference,,,1312,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sg_12
HDR,0.0,100.0,1312,1302,1300,0,1300,0,0,0,1300,0,0,1300,0,0,0,0,sg_12
Reference,54.60992908,45.39007092,683,683,141,77,64,0,0,0,64,0,0,64,0,0,0,0,sg_13
HDR,6.82656827,93.17343173,683,683,542,37,505,0,0,24,481,0,24,481,0,0,0,0,sg_13
Reference,12.12121212,87.87878788,3381,3381,561,68,493,0,9,1,484,9,0,483,0,0,1,0,sg_14
HDR,0.0,100.0,3381,3381,2813,0,2813,0,11,10,2813,0,0,2792,0,11,10,0,sg_14
Reference,0.0,100.0,123,123,5,0,5,0,0,0,5,0,0,5,0,0,0,0,sg_15
HDR,22.22222222,77.77777778,123,123,117,26,91,0,1,1,91,0,0,89,0,1,1,0,sg_15
Reference,100.0,0.0,160,160,39,39,0,0,0,0,0,0,0,0,0,0,0,0,sg_16
HDR,47.9338843,52.0661157,160,160,121,58,63,0,0,0,63,0,0,63,0,0,0,0,sg_16
Reference,35.38461538,64.61538462,3318,3270,65,23,42,0,42,0,30,12,0,0,0,30,0,0,sg_17
HDR,14.02572953,85.97427047,3318,3270,3187,447,2740,0,191,55,2685,51,4,2502,0,132,43,8,sg_17
Reference,0.0,100.0,1347,1347,48,0,48,0,35,0,48,0,0,13,0,35,0,0,sg_18
HDR,0.0,100.0,1347,1347,1296,0,1296,0,23,25,1296,0,0,1248,0,23,25,0,sg_18
Reference,0.0,100.0,302,292,2,0,2,0,0,0,2,0,0,2,0,0,0,0,sg_19
HDR,0.0,100.0,302,292,281,0,281,0,14,14,274,0,7,253,0,14,7,0,sg_19
Reference,25.0,75.0,1637,1630,4,1,3,0,3,0,3,0,0,0,0,3,0,0,sg_20
HDR,48.89162562,51.10837438,1637,1630,1624,794,830,0,0,5,828,0,2,825,0,0,3,0,sg_20
Reference,100.0,0.0,1188,1172,9,9,0,0,0,0,0,0,0,0,0,0,0,0,sg_21
HDR,21.4961307,78.5038693,1188,1172,1163,250,913,0,5,6,906,5,2,902,0,0,4,0,sg_21
Reference,12.90322581,87.09677419,1741,1741,31,4,27,0,0,0,27,0,0,27,0,0,0,0,sg_22
HDR,0.70216501,99.29783499,1741,1741,1709,12,1697,0,11,1,1697,0,0,1685,0,11,1,0,sg_22
Reference,0.0,100.0,841,841,19,0,19,0,0,0,19,0,0,19,0,0,0,0,sg_23
HDR,0.0,100.0,841,841,815,0,815,0,38,8,803,12,0,772,0,23,5,3,sg_23
Reference,1.14942529,98.85057471,1218,1218,957,11,946,0,0,0,946,0,0,946,0,0,0,0,sg_24
HDR,0.0,100.0,1218,1218,260,0,260,0,0,2,260,0,0,258,0,0,2,0,sg_24
Reference,14.35406699,85.64593301,1620,1620,209,30,179,0,15,1,178,0,1,163,0,15,0,0,sg_25
HDR,0.0,100.0,1620,1620,1408,0,1408,0,0,2,1408,0,0,1406,0,0,2,0,sg_25
Reference,98.14814815,1.85185185,2943,2943,1026,1007,19,0,0,0,19,0,0,19,0,0,0,0,sg_26
HDR,91.17032393,8.82967607,2943,2943,1914,1745,169,0,0,1,168,0,1,168,0,0,0,0,sg_26
Reference,20.48192771,79.51807229,5676,5676,747,153,594,0,0,12,594,0,0,582,0,0,12,0,sg_27
HDR,36.2177534,63.7822466,5676,5676,4923,1783,3140,0,0,6,3139,0,1,3134,0,0,5,0,sg_27
Reference,0.32232071,99.67767929,1929,1929,1241,4,1237,0,1,1,1237,0,0,1235,0,1,1,0,sg_28
